"CountryCode","SeriesCode","DESCRIPTION",
"AFG","IT.NET.BBND.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"AFG","MS.MIL.XPND.ZS","2004 SIPRI estimates.",
"AFG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"AFG","MS.MIL.XPND.CD","2004 SIPRI estimates.",
"AFG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"AFG","IT.CEL.SETS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"AFG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2020 are based on reports provided by the country. Short-term debt before 2010 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020.",
"AFG","IT.MLT.MAIN","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AFG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AFG","IT.NET.USER.ZS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AFG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"AFG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AFG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"AFG","IT.NET.BBND","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AFG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AFG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"AGO","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"AGO","IT.MLT.MAIN","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AGO","IT.NET.USER.ZS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"AGO","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AGO","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AGO","IT.NET.BBND.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 1995-2001: country data.",
"AGO","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"AGO","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AGO","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AGO","ST.INT.DPRT","Includes overnight visitors (tourists) only.",
"AGO","IT.MLT.MAIN.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.NET.BBND","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","IT.CEL.SETS.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AGO","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AGO","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"AGO","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AGO","IT.CEL.SETS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2020 are based on reports provided by the country.  Short-term debt and long-term private nonguaranteed debt data for 2020 are sourced from the National Bank of Angola. DSSI eligible and participating in 2020.",
"ALB","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ALB","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ALB","IT.NET.BBND","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists).",
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat",
"ALB","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ALB","IS.RRS.GOOD.MT.K6","Source: OECD",
"ALB","IT.CEL.SETS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2020 are based on reports provided by the country. Short-term debt data for 2020 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ALB","IT.MLT.MAIN","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ALB","IS.RRS.PASG.KM","Source: OECD",
"ALB","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"ALB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ALB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ALB","IT.CEL.SETS.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ALB","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","IT.MLT.MAIN.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","IT.NET.BBND.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ALB","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding nationals residing abroad. Including in transit visitors.",
"AND","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"AND","SP.DYN.CBRT.IN","Data source: Eurostat",
"AND","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AND","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AND","SP.DYN.CDRT.IN","Data source: Eurostat",
"AND","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AND","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.",
"AND","SP.DYN.TFRT.IN","Data source: Eurostat",
"ARE","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARE","IT.CEL.SETS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARE","IT.MLT.MAIN.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.NET.BBND","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.NET.BBND.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARE","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARE","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARE","MS.MIL.XPND.ZS","1997-2014 SIPRI estimates.",
"ARE","IT.CEL.SETS.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","MS.MIL.XPND.CN","1997-2014 SIPRI estimates.",
"ARE","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","IT.NET.USER.ZS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","ST.INT.XPND.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E.",
"ARE","IT.MLT.MAIN","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","BX.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists).",
"ARE","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","ST.INT.RCPT.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E. 1995-1999: hotel revenues. Including domestic tourism and nationals residing abroad.",
"ARE","CM.MKT.TRNR","Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges.",
"ARE","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARE","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists in hotels and similar establishments. Until 2018: Non-resident tourists staying in hotels and similar establishments. From 2019: Non-resident tourists staying in all accommodation establishments. Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities.",
"ARE","MS.MIL.XPND.CD","1997-2014 SIPRI estimates.",
"ARG","IS.RRS.PASG.KM","Source: OECD",
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones.",
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2020 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Long term foreign direct investment debt is reported according to the BPM5 definition for entities with foreign ownership of 10 percent or more of the ordinary shares or voting power and excludes debt of fellow companies. Short-term debt data for 2020 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"ARG","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists).",
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones.",
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones.",
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones.",
"ARG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARG","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ARG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARG","SP.POP.GROW","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones.",
"ARG","IS.RRS.GOOD.MT.K6","Source: OECD",
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones.",
"ARG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.",
"ARG","SP.POP.TOTL","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications.",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications.",
"ARM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ARM","ST.INT.DPRT","Includes overnight visitors (tourists) only.",
"ARM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARM","IT.CEL.SETS","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications.",
"ARM","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","IS.RRS.GOOD.MT.K6","Source: OECD",
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARM","IS.RRS.PASG.KM","Source: OECD",
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications.",
"ARM","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARM","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2020 are based on reports provided by the country. Short-term debt data for 2020 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARM","IT.NET.BBND","Ministry of Transport and Communications.",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ASM","ST.INT.TVLR.CD","Compiled from data reported by the country. Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.",
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority.",
"ASM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority.",
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","ST.INT.TVLX.CD","Compiled from data reported by the country.",
"ASM","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.",
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority.",
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority.",
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority.",
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
"ATG","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding yacht passenger arrivals.",
"ATG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ATG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ATG","IT.MLT.MAIN","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ATG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.CEL.SETS.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ATG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ATG","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ATG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","IT.NET.BBND","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.CEL.SETS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
